,no,tProfit,ave(%),,,
323,2204,0.07,0.22,1,,
324,2360,0.07,0.19,1,,
325,2392,0.07,0.21,1,,
326,2451,0.07,0.62,1,,
327,2505,0.07,0.2,1,,
328,2812,0.07,0.12,1,,
329,2841,0.07,0.21,1,,
330,2855,0.07,0.17,1,,
331,2883,0.07,0.31,1,,
332,2887,0.07,0.15,1,,
333,2887,0.07,0.15,1,,
334,2915,0.07,0.2,1,,
335,3028,0.07,0.15,1,,
336,3029,0.07,0.15,1,,
337,3130,0.07,0.25,1,,
338,4306,0.07,0.27,1,,
339,6196,0.07,0.22,1,,
340,8016,0.07,0.58,1,,
341,8150,0.07,0.22,1,,
342,1203,0.06,0.15,1,,
343,1213,0.06,0.28,1,,
344,1713,0.06,0.13,1,,
345,2103,0.06,0.21,1,,
346,2305,0.06,0.45,1,,
347,2312,0.06,0.33,1,,
348,2314,0.06,0.1,1,,
349,2367,0.06,0.23,1,,
350,2401,0.06,0.17,1,,
351,2414,0.06,0.11,1,,
352,2468,0.06,0.26,1,,
353,2535,0.06,0.16,1,,
354,2706,0.06,0.34,1,,
355,2823,0.06,0.3,1,,
356,2882,0.06,0.38,1,,
357,2882,0.06,0.38,1,,
358,3019,0.06,0.16,1,,
359,3046,0.06,1.17,1,,
360,3058,0.06,0.18,1,,
361,3701,0.06,0.51,1,,
362,4557,0.06,0.57,1,,
363,4952,0.06,0.26,1,,
364,5434,0.06,0.14,1,,
365,6112,0.06,0.14,1,,
366,6213,0.06,0.31,1,,
367,6243,0.06,0.23,1,,
368,9907,0.06,0.17,1,,
369,9937,0.06,0.21,1,,
370,9946,0.06,0.18,1,,
371,9955,0.06,0.5,1,,
372,1102,0.05,0.26,1,,
373,1514,0.05,0.21,1,,
374,1516,0.05,0.23,1,,
375,1526,0.05,0.12,1,,
376,1536,0.05,0.27,1,,
377,1614,0.05,0.27,1,,
378,1714,0.05,0.1,1,,
379,1737,0.05,0.29,1,,
380,2002,0.05,0.15,1,,
381,2002,0.05,0.15,1,,
382,2020,0.05,0.28,1,,
383,2323,0.05,0.64,1,,
384,2327,0.05,0.1,1,,
385,2353,0.05,0.21,1,,
386,2380,0.05,0.22,1,,
387,2477,0.05,0.1,1,,
388,2493,0.05,0.14,1,,
389,2705,0.05,0.27,1,,
390,2832,0.05,0.2,1,,
391,2836,0.05,0.06,1,,
392,2845,0.05,0.09,1,,
393,2849,0.05,0.49,1,,
394,2856,0.05,0.19,1,,
395,2885,0.05,0.09,1,,
396,3043,0.05,0.3,1,,
397,3090,0.05,0.1,1,,
398,3665,0.05,0.11,1,,
399,3703,0.05,0.18,1,,
400,8103,0.05,0.1,1,,
401,8110,0.05,0.12,1,,
402,1109,0.04,0.18,1,,
403,1234,0.04,0.14,1,,
404,1315,0.04,0.15,1,,
405,1325,0.04,0.19,1,,
406,1437,0.04,0.12,1,,
407,1538,0.04,0.11,1,,
408,1712,0.04,0.14,1,,
409,1715,0.04,0.16,1,,
410,1717,0.04,0.11,1,,
411,2109,0.04,0.18,1,,
412,2303,0.04,0.26,1,,
413,2316,0.04,0.21,1,,
414,2340,0.04,0.09,1,,
415,2347,0.04,0.16,1,,
416,2397,0.04,0.1,1,,
417,2419,0.04,0.2,1,,
418,2482,0.04,0.16,1,,
419,2545,0.04,0.22,1,,
420,2617,0.04,0.2,1,,
421,2888,0.04,0.16,1,,
422,3010,0.04,0.1,1,,
423,3209,0.04,0.34,1,,
424,4144,0.04,0.16,1,,
425,4958,0.04,0.16,1,,
426,5215,0.04,0.09,1,,
427,5515,0.04,0.18,1,,
428,5538,0.04,0.13,1,,
429,6139,0.04,0.08,1,,
430,6269,0.04,0.08,1,,
431,6414,0.04,0.3,1,,
432,8249,0.04,0.1,1,,
433,8467,0.04,0.61,1,,
434,9940,0.04,0.28,1,,
435,1225,0.03,0.13,1,,
436,1262,0.03,0.14,1,,
437,1321,0.03,0.13,1,,
438,1423,0.03,0.12,1,,
439,1447,0.03,0.07,1,,
440,1521,0.03,0.09,1,,
441,1618,0.03,0.12,1,,
442,2207,0.03,0.23,1,,
443,2369,0.03,0.15,1,,
444,2374,0.03,0.11,1,,
445,2385,0.03,0.45,1,,
446,2458,0.03,0.06,1,,
447,2506,0.03,0.42,1,,
448,2611,0.03,0.12,1,,
449,2707,0.03,0.36,1,,
450,2723,0.03,0.06,1,,
451,2890,0.03,0.09,1,,
452,3004,0.03,0.2,1,,
453,3052,0.03,0.12,1,,
454,3062,0.03,0.12,1,,
455,3189,0.03,0.1,1,,
456,3305,0.03,0.09,1,,
457,3311,0.03,0.12,1,,
458,3432,0.03,0.12,1,,
459,3686,0.03,0.19,1,,
460,4142,0.03,0.23,1,,
461,4164,0.03,0.43,1,,
462,4919,0.03,0.08,1,,
463,4938,0.03,0.09,1,,
464,5907,0.03,0.1,1,,
465,6277,0.03,0.09,1,,
466,8429,0.03,0.19,1,,
467,9938,0.03,0.18,1,,
468,1301,0.02,0.07,1,,
469,1308,0.02,0.05,1,,
470,1326,0.02,0.14,1,,
471,1409,0.02,0.06,1,,
472,1444,0.02,0.12,1,,
473,1503,0.02,0.06,1,,
474,1568,0.02,0.14,1,,
475,1598,0.02,0.22,1,,
476,1611,0.02,0.09,1,,
477,1722,0.02,0.24,1,,
478,2012,0.02,0.09,1,,
479,2033,0.02,0.1,1,,
480,2308,0.02,0.21,1,,
481,2311,0.02,0.08,1,,
482,2325,0.02,0.06,1,,
483,2364,0.02,0.08,1,,
484,2379,0.02,0.11,1,,
485,2420,0.02,0.08,1,,
486,2466,0.02,0.04,1,,
487,2498,0.02,0.65,1,,
488,2534,0.02,0.07,1,,
489,2612,0.02,0.06,1,,
490,2881,0.02,0.21,1,,
491,2881,0.02,0.21,1,,
492,3015,0.02,0.06,1,,
493,3042,0.02,0.11,1,,
494,3045,0.02,0.07,1,,
495,3545,0.02,0.06,1,,
496,3607,0.02,0.41,1,,
497,5531,0.02,0.05,1,,
498,5607,0.02,0.13,1,,
499,6251,0.02,0.07,1,,
500,6405,0.02,0.11,1,,
501,6431,0.02,0.07,1,,
502,6442,0.02,0.05,1,,
503,6477,0.02,0.36,1,,
504,6505,0.02,0.07,1,,
505,8114,0.02,0.12,1,,
506,8926,0.02,0.07,1,,
507,1216,0.01,0.04,1,,
508,1338,0.01,0.04,1,,
509,1446,0.01,0.04,1,,
510,1540,0.01,0.11,1,,
511,1615,0.01,0.21,1,,
512,2108,0.01,0.02,1,,
513,2329,0.01,0.05,1,,
514,2408,0.01,0.05,1,,
515,2428,0.01,0.02,1,,
516,2449,0.01,0.1,1,,
517,2455,0.01,0.04,1,,
518,2610,0.01,0.04,1,,
519,2834,0.01,0.04,1,,
520,2838,0.01,0.02,1,,
521,2903,0.01,0.1,1,,
522,2906,0.01,0.07,1,,
523,2923,0.01,0.14,1,,
524,3006,0.01,0.04,1,,
525,3022,0.01,0.04,1,,
526,3257,0.01,0.05,1,,
527,3383,0.01,0.07,1,,
528,3504,0.01,0.03,1,,
529,3519,0.01,0.06,1,,
530,3583,0.01,0.05,1,,
531,3622,0.01,0.02,1,,
532,3682,0.01,0.07,1,,
533,3704,0.01,0.07,1,,
534,4119,0.01,0.06,1,,
535,6197,0.01,0.01,1,,
536,8105,0.01,0.05,1,,
537,9925,0.01,0.17,1,,
538,9930,0.01,0.06,1,,
539,1218,0,0.1,1,,
540,1220,0,-0.02,0,,
541,1233,0,0.01,1,,
542,1304,0,0.01,1,,
543,1305,0,0,0,,
544,1413,0,0.03,1,,
545,1434,0,0.01,1,,
546,1451,0,-0.03,0,,
547,1453,0,0.04,1,,
548,1459,0,-0.01,0,,
549,1473,0,0,0,,
550,1535,0,0.04,1,,
551,1704,0,-0.01,0,,
552,1711,0,0.02,1,,
553,1721,0,-0.03,0,,
554,2032,0,0,0,,
555,2038,0,0,0,,
556,2355,0,-0.05,0,,
557,2373,0,-0.03,0,,
558,2393,0,-0.05,0,,
559,2409,0,0,0,,
560,2412,0,0,0,,
561,2448,0,0.01,1,,
562,2454,0,0,0,,
563,2509,0,0.01,1,,
564,2542,0,-0.01,0,,
565,2704,0,0.04,1,,
566,2820,0,0.04,1,,
567,3033,0,-0.01,0,,
568,3514,0,-0.01,0,,
569,3705,0,0.01,1,,
570,4104,0,0,0,,
571,4526,0,-0.03,0,,
572,4755,0,-0.01,0,,
573,4960,0,0.02,1,,
574,4999,0,0.01,1,,
575,5203,0,0.01,1,,
576,6128,0,0.02,1,,
577,6206,0,-0.01,0,,
578,6214,0,0,0,,
579,6225,0,-0.04,0,,
580,8443,0,-0.06,0,,
581,8463,0,0.01,1,,
582,9917,0,0.02,1,,
583,9942,0,-0.06,0,,
584,9944,0,0,0,,
585,1104,-0.01,-0.02,0,,
586,1201,-0.01,-0.04,0,,
587,1236,-0.01,-0.2,0,,
588,1416,-0.01,-0.04,0,,
589,1468,-0.01,-0.03,0,,
590,1506,-0.01,-0.05,0,,
591,1612,-0.01,-0.07,0,,
592,1702,-0.01,-0.11,0,,
593,1720,-0.01,-0.05,0,,
594,1762,-0.01,-0.03,0,,
595,1776,-0.01,-0.06,0,,
596,1783,-0.01,-0.08,0,,
597,2030,-0.01,-0.03,0,,
598,2105,-0.01,-0.03,0,,
599,2114,-0.01,-0.26,0,,
600,2330,-0.01,-0.15,0,,
601,2362,-0.01,-0.69,0,,
602,2387,-0.01,-0.02,0,,
603,2390,-0.01,-0.04,0,,
604,2406,-0.01,-0.05,0,,
605,2483,-0.01,-0.13,0,,
606,2702,-0.01,-0.07,0,,
607,2880,-0.01,-0.01,0,,
608,2891,-0.01,-0.03,0,,
609,2901,-0.01,-0.19,0,,
610,2912,-0.01,-0.05,0,,
611,3038,-0.01,-0.03,0,,
612,3048,-0.01,-0.09,0,,
613,3346,-0.01,-0.08,0,,
614,3559,-0.01,-0.03,0,,
615,3576,-0.01,-0.09,0,,
616,3596,-0.01,-0.05,0,,
617,3702,-0.01,-0.05,0,,
618,5288,-0.01,-0.02,0,,
619,5484,-0.01,-0.33,0,,
620,6115,-0.01,-0.02,0,,
621,6136,-0.01,-0.01,0,,
622,6525,-0.01,-0.12,0,,
623,6552,-0.01,-0.17,0,,
624,8210,-0.01,-0.06,0,,
625,8422,-0.01,-0.04,0,,
626,8940,-0.01,-0.1,0,,
627,9904,-0.01,-0.05,0,,
628,9914,-0.01,-0.06,0,,
629,9918,-0.01,-0.04,0,,
630,9929,-0.01,-0.08,0,,
