"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="4168","醣聯","24","-0.3","-0.45","-0.39","-0.51"
="4171","瑞基","20","-0.28","-0.61","-0.45","0.09"
="4173","久裕","21.9","0.07","0.18","0.01","0.04"
="4174","浩鼎","169","-2.16","-1.63","-2.37","-1.64"
="4175","杏一","65","0.89","1.01","0.71","0.5"
="4180","安成藥","75","-1.83","3.13","-2.93","2.82"
="4183","福永生技","21.3","0.11","0.71","-0.36","-0.23"
="4188","安克","32.6","-0.26","-0.26","-0.27","-0.27"
="4190","佐登-KY","60.4","1.17","1.44","0.91","0.68"
="4192","杏國","29","-0.92","0.07","-0.9","-0.9"
="4198","環瑞醫","9.4","-0.95","-0.93","-0.91","-0.67"
="4205","中華食","63.7","0.87","0.79","0.78","0.74"
="4207","環泰","12.05","0.27","0.45","0.46","0.11"
="4303","信立","121","0.08","0","0.02","16.96"
="4304","勝昱","5.42","-0.34","-0.06","-0.36","-0.52"
="4305","世坤","31.7","0.41","1.03","0.38","0.79"
="4306","炎洲","13.75","-0.09","-0.21","-0.03","0.28"
="4401","東隆興","76.1","1.17","1","1.15","1.23"
="4402","福大","16.5","2.31","-0.67","-0.4","-0.41"
="4406","新昕纖","9.58","-0.08","0.06","-0.05","0.02"
="4413","飛寶企業","12.3","0.01","-0.28","-0.54","-0.11"
="4414","如興","18.8","-0.6","-0.87","-0.7","-0.37"
="4416","三圓","79","-0.33","0.21","-0.2","-0.34"
="4417","金洲","33.8","1.47","0.79","0.69","0.64"
="4419","元勝","9.9","-0.59","-0.28","-0.26","3.01"
="4420","光明","27.3","0.14","0.22","0.43","0.42"
="4426","利勤","55.1","2","1.32","0.43","0.55"
="4429","聚紡","23.1","-0.04","-0.05","-0.16","0.06"
="4430","耀億","25","-0.03","0.83","0.54","-0.13"
="4432","銘旺實","36.4","0.44","0.34","0.12","0.64"
="4433","興采","23.35","0.01","0.04","-0.26","0.33"
="4438","廣越","140.5","6.61","0.12","-1.73","1.41"
="4502","健信","87.8","0.02","0.4","1.04","1.9"
="4503","金雨","39.2","0.01","0.03","0.31","0.34"
="4506","崇友","49.65","0.73","0.42","2.04","0.76"
="4510","高鋒","19.85","0.3","0.06","-0.06","0.19"
="4513","福裕","9.27","-0.41","-0.05","-0.05","-0.23"
="4523","永彰","16.4","0.29","-0.35","-0.68","-0.13"
="4526","東台","21.15","-0.11","0.2","-0.46","-0.11"
="4527","方土霖","31.55","0.97","1.07","0.42","0.59"
="4528","江興鍛","80.7","0.72","1.03","1.08","1.24"
="4529","淳紳","33.75","-0.49","-1.64","-1.02","-1.15"
="4530","宏易","9.39","4.02","0.01","-0.36","-0.08"
="4532","瑞智","31.25","0.58","0.49","0.52","0.7"
="4533","協易機","13.1","0.31","0.05","-0.22","0.28"
="4534","慶騰","18.45","0.85","0.71","-0.15","0.19"
="4535","至興","42","0.81","0.87","0.76","0.77"
="4536","拓凱","97.8","2.2","2.75","0.15","2.38"
="4541","晟田","26.7","-0.31","-0.12","-0.57","-0.02"
="4542","科嶠","38","-0.7","0.38","-0.57","1.57"
="4543","萬在","19.7","0.14","0.46","-0.18","0.14"
="4545","銘鈺","47.65","0.36","1.15","-0.64","-0.49"
="4549","桓達","84.1","0.79","1.62","0.68","1.71"
="4550","長佳","18.8","0.54","0.1","-0.47","0.69"
="4551","智伸科","173","1.25","2.06","1.54","1.69"
="4552","力達-KY","101.5","2.52","2.97","1.93","2.33"
="4554","橙的","28","0.49","0.07","-0.68","-0.33"
="4555","氣立","62.4","0.63","0.15","0.04","0.89"
="4556","旭然","31.55","0","0.08","-0.21","0.28"
="4557","永新-KY","70.4","1.74","2.24","1.26","2.02"
="4560","強信-KY","42.3","","","0.8","1"
="4562","穎漢","41.45","","","0.29","0.72"
="4609","唐鋒","10.15","0.45","-0.51","-0.67","-0.53"
="4702","中美實","5.9","-0.08","-3.74","-0.1","-0.18"
="4706","大恭","21.45","0.51","0.55","0.36","0.47"
="4707","磐亞","9.17","0.35","0.27","0.12","0.21"
="4711","永純","17.05","0.35","0.52","0.43","0.14"
="4712","南璋","10.7","-0.11","-0.33","-0.13","-0.24"
="4714","永捷","17.35","0.26","0.06","0","0"
="4716","大立","23.8","0.08","0.15","0","0.05"
="4720","德淵","14.3","0.19","0.33","-0.06","0.19"
="4721","美琪瑪","115","0.28","0.65","0.14","1.24"
="4722","國精化","33.5","0.8","0.83","0.51","0.79"
="4725","信昌化","21","-0.29","-0.15","0.14","-0.88"
="4726","永昕","28.65","-0.21","-0.21","-0.66","-0.21"
="4728","雙美","27.7","0.07","0.21","0.06","0.08"
="4729","熒茂","25.25","0.56","0.21","0.85","0.72"
="4735","豪展","49.6","0.8","1.02","0.65","0.75"
="4736","泰博","90","1.13","1.54","0.61","0.78"
="4737","華廣","55.1","0.86","1.13","0.41","0.49"
="4739","康普","125.5","0.46","0.26","1.28","1.08"
="4741","泓瀚","77","","","0.44","0.82"
="4743","合一","22.95","0.42","-0.18","-0.21","-0.2"
="4745","合富-KY","41.3","0.51","0.89","0.53","1.11"
="4746","台耀","79.6","1.09","1.56","0.58","1.34"
="4747","強生","37.8","0.39","0.54","0.52","0.48"
="4754","國碳科","41.05","0.84","0.81","0.41","0.83"
="4755","三福化","51.9","0.81","0.68","0.8","1.11"
="4763","材料-KY","175","1.21","1.92","1.31","0.81"
="4803","VHQ-KY","137.5","3.27","1.98","2.54","3.02"
="4804","大略-KY","47.15","0.07","2.15","0.45","1.17"
="4806","昇華","61.1","-0.08","1.04","0.78","0.75"
="4807","日成-KY","50.8","","","1.06","0.57"
="4903","聯光通","28.85","-0.15","0.09","-0.24","-0.1"
="4904","遠傳","70.8","0.98","0.67","0.87","0.9"
="4905","台聯電","70.8","2.66","-0.1","0.9","5.92"
="4906","正文","24.8","0.7","0.5","0.63","0.14"
="4907","富宇","41.8","0","0.07","3.13","0.66"
="4908","前鼎","18.6","0.09","0.37","0.22","0.26"
="4909","新復興","19","0.42","0.7","0.02","0.47"
="4911","德英","54.6","-0.11","-0.03","-0.23","0.04"
="4912","聯德控股-KY","196","1.53","0.35","0.68","1.91"
="4915","致伸","75.7","1.28","1.19","0.95","1.05"
="4916","事欣科","35.2","0.81","0.33","0.08","0.58"
="4919","新唐","76.1","0.69","0.63","0.44","1.19"
="4924","欣厚-KY","8.7","-0.27","-0.19","-0.36","-0.17"
="4927","泰鼎-KY","22.9","0.88","-0.52","0.52","0.03"
="4930","燦星網","12.95","0.12","-0.14","-0.18","-0.57"
="4933","友輝","23.1","0.56","0.84","-0.31","0.31"
="4934","太極","12.65","-1.09","-0.56","-0.77","-1.13"
="4935","茂林-KY","44.3","1.91","0.86","0.57","0.64"
="4938","和碩","74","2.09","2.27","1.51","1.34"
="4939","亞電","19","0.2","0.54","0.18","0.29"
="4942","嘉彰","24","0.6","0.22","0.35","0.65"
="4943","康控-KY","375.5","0.51","0.54","0.19","0.25"
="4944","兆遠","16.65","-0.73","-0.72","-0.74","-0.99"
="4946","辣椒","45.9","-0.77","0.28","0.1","1.94"
="4947","昂寶-KY","221","4.27","3.72","1.56","3.44"
="4950","牧東","18.2","0.54","1.28","-0.94","-1.16"
="4952","凌通","63.5","0.93","0.62","0.47","1.23"
="4953","緯軟","27.6","0.34","0.62","0.33","0.58"
="4956","光鋐","25.25","0.25","0.15","0.02","0.25"
="4958","臻鼎-KY","73.3","1.76","1.75","0.44","0.24"
="4960","奇美材","13.25","-0.86","-0.36","-0.87","-0.48"
="4965","商店街","54.1","0.12","0.12","-0.3","-2.71"
="4966","譜瑞-KY","571","4.03","4.61","4.92","5.95"
="4968","立積","103","0.55","0.91","-0.91","1.36"
="4971","IET-KY","84.2","0.57","0.64","0.49","1.18"
="4972","湯石照明","30.7","0.8","0.44","0.44","0.58"
="4973","廣穎","21","0.26","0.72","0.07","0.03"
="4974","亞泰","51.3","1.82","1.36","0.72","1.33"
="4976","佳凌","45.5","0.09","-0.21","0.01","0.04"
="4977","眾達-KY","116.5","1.17","1.98","1.61","1.36"
="4979","華星光","29.35","-1.41","-1","-2.1","-2.03"
="4984","科納-KY","33.35","2.09","0.93","0.21","0.06"
="4987","科誠","66.1","0.99","1.31","0.78","1.78"
="4991","環宇-KY","70.7","1.67","0.99","1.35","0.91"
="4994","傳奇","53.7","-0.53","-0.12","-0.58","-0.5"
="4995","晶達","38.6","0.51","0.4","0.54","0.99"
="4999","鑫禾","49.65","1.92","2.3","0.37","1.44"
="5007","三星","59.8","0.95","0.89","0.96","0.83"
="5009","榮剛","20.85","0.18","0.31","0.07","0.15"
="5011","久陽","15.95","0.07","-0.27","-0.89","-0.86"
="5013","強新","28.6","0.74","0.79","0.9","0.39"
="5014","建錩","19.4","0.18","2.23","0.16","-1.01"
="5015","華祺","31.5","0.36","1.07","0.34","1.01"
="5016","松和","34.8","0.98","0.96","1.06","0.86"
="5102","富強","15.5","0.21","0.21","0.27","0.32"
="5201","凱衛","20.5","0.28","0.36","-0.45","0.08"
="5202","力新","25.5","0.09","0.08","0.03","0.16"
="5203","訊連","62.5","0.33","1.23","0.39","0.77"
="5205","漢康","14.5","-0.2","-0.34","-0.18","-0.38"
="5206","坤悅","9.81","1.27","-0.15","1.02","0.08"
="5209","新鼎","47.5","0.71","0.75","0.76","1.03"
="5210","寶碩","6.9","-0.02","0.19","-0.19","-0.2"
="5211","蒙恬","22.5","0.17","0.2","0.16","0.15"
="5212","凌網","24.6","0.59","0.69","-0.7","0.18"
="5213","亞昕","16.7","-0.26","1.62","-0.23","-0.26"
="5215","科嘉-KY","27.05","0.47","1.2","-0.64","0.11"
="5225","東科-KY","30.45","1.54","0.66","0.15","-0.7"
="5227","立凱-KY","27.25","0.43","-0.13","-0.27","-0.3"
="5230","雷笛克光學","46.15","0.74","1.02","0.52","0.97"
="5234","達興材料","54.4","1.14","1.23","1.05","0.98"
="5243","乙盛-KY","52.8","0.62","0.58","0.55","0.6"
="5245","智晶","117","1.25","1.29","1.56","1.31"
="5251","天鉞電","23.1","0.27","0.57","0.08","-0.12"
="5255","美桀","56.8","1","1.1","0.76","1.03"
="5258","虹堡","28.5","0.37","0.73","0.11","-0.09"
="5263","智崴","283","0.45","1.79","1.01","1.33"
="5264","鎧勝-KY","120","1.08","3.18","1.01","1.1"
="5269","祥碩","363.5","2.01","2.14","2.03","-0.27"
="5272","笙科","44.75","0.42","0.45","0.32","0.44"
="5274","信驊","687","3.69","4.68","3.04","3.75"
="5276","達輝-KY","22.4","0.4","0.78","0.26","0.47"
="5278","尚凡","49.3","-1.57","-1.29","-1.46","-0.58"
="5281","大峽谷-KY","35.95","1.5","0.35","-0.06","1.09"
="5284","jpp-KY","64","0.91","1.19","1","1.84"
="5285","界霖","81.2","0.53","0.76","0.26","0.88"
="5287","數字","239","3.72","3.47","2.68","6.57"
="5288","豐祥-KY","93.7","1.62","2.18","1.52","1.65"
="5289","宜鼎","126","1.63","2.07","1.62","2.88"
="5291","邑昇","15.65","-0.11","-0.24","-0.27","0.34"
="5301","寶得利","26.6","-0.47","-0.72","-0.35","-0.31"
="5302","太欣","6.41","-0.04","-0.03","0.22","-0.1"
="5304","鼎創達","2.5","-0.76","0.03","-1.17","0.3"
="5305","敦南","37.85","0.55","0.28","0.27","0.57"
="5306","桂盟","133","1.95","2.16","2.06","2.17"
="5309","系統電","9.12","-0.18","-1.13","-0.45","-0.07"
="5310","天剛","28.6","-0.03","-0.19","-0.04","0.05"
="5312","寶島科","64.2","1.98","0.92","1.72","0.78"
="5314","世紀","5","-0.34","-0.37","-0.58","-0.46"
="5315","光聯","15.85","0.89","1.13","0.11","0.43"
="5317","凱美","32.5","0.04","-0.03","0.18","0.9"
="5321","友銓","21.15","0.18","0.79","-0.5","-0.09"
="5324","士開","10.1","-0.39","-0.3","-0.43","0.01"
="5328","華容","10.7","0.15","0.09","0.05","-0.1"
="5340","建榮","12.5","0.06","0.08","0.09","0.2"
="5344","立衛","6.74","-0.21","-0.31","-0.15","-0.03"
="5345","天揚","7.35","0.27","-1.24","0.27","-0.58"
="5347","世界","59.2","0.8","0.83","0.7","0.6"
="5348","系通","4.28","-0.54","-0.15","-0.55","-0.42"
="5349","先豐","27.15","-0.07","-0.12","-0.21","0.21"
="5351","鈺創","15.55","-0.36","-0.27","-0.51","-0.3"
="5353","台林","12.4","0.06","0.17","-0.2","0.18"
="5355","佳總","7.95","-0.08","0.13","-0.09","-0.04"
="5356","協益","42.2","1.02","1.05","1.01","1.21"
="5364","力麗店","22.7","1.03","0.61","-0.57","-0.36"
="5371","中光電","34.8","1.35","1.53","0.64","0.6"
="5381","合正","5.01","0.03","0.06","0.04","-1.57"
="5383","金利","9.58","-0.35","-0.34","-0.41","-0.15"
="5386","青雲","33.5","0.75","0.83","0.16","0.57"
="5388","中磊","81.2","1.72","1.71","0.94","1.31"
="5392","應華","52.5","0.18","-0.5","0.71","0.1"
="5398","慕康生醫","30","0","0.34","0.52","0.15"
="5403","中菲","36.75","0.41","0.94","1.02","0.85"
="5410","國眾","13.45","0.32","0.39","0.3","0.32"
="5425","台半","68.1","0.77","1.06","0.78","0.83"
="5426","振發","16.9","0.23","0.38","-0.11","0.21"
="5432","達威","23.7","-0.02","0.29","-0.35","0.13"
="5434","崇越","73.8","1.84","1.88","1.53","1.33"
="5438","東友","16.35","0.89","0.31","0.21","0.51"
="5439","高技","31","0.46","0.67","0.52","0.69"
="5443","均豪","23.65","0.13","-0.03","0.19","0.11"
="5450","寶聯通","7.35","-0.03","0.06","-0.2","0.06"
="5452","佶優","10.25","0.08","0.17","-0.08","0.15"
="5455","昇益","7.61","-0.05","-0.41","-0.16","-0.03"
="5457","宣德","53.4","-0.06","0.07","-0.15","0.12"
="5460","同協","12.95","0.08","0.16","0.11","0.22"
="5464","霖宏","12.85","-0.48","1.13","-2.18","0.11"
="5465","富驊","26.9","0.13","0.45","0.13","0.12"
="5468","凱鈺","4.86","-0.3","-0.46","-0.27","-0.24"
="5469","瀚宇博","18.1","0.92","0.76","0.28","0.14"
="5471","松翰","37.4","0.43","0.4","0.19","0.51"
="5474","聰泰","49.4","1.5","2.34","0.56","0.7"
="5475","德宏","9.49","-0.56","-2.24","0.39","0.14"
="5478","智冠","74.5","0.57","0.73","1.53","0.53"
="5480","統盟","12.3","0.41","0.27","0.19","0.03"
="5481","華韡","20.35","0.12","0.93","0.11","-0.19"
="5483","中美晶","83","-2.27","-1.37","-0.7","0.22"
="5484","慧友","4.97","0.12","-0.13","-0.23","-0.08"
="5487","通泰","26.4","0.44","0.46","0.04","0.48"
="5488","松普","7.8","0.29","0.27","0.15","-0.12"
="5489","彩富","38","0.09","1.2","0.09","0.58"
="5490","同亨","48","0.9","2.46","0.54","0.66"
="5491","連展","9.59","-0.04","4.87","0.09","-0.41"
="5493","三聯","27","0.92","0.78","0.19","0.47"
="5498","凱崴","12.35","0.02","0.24","-0.11","0.03"
="5508","永信建","32.9","0.69","0.73","0.59","0.9"
="5511","德昌","19.95","0.31","1.66","0.32","0.4"
="5512","力麒","9.33","0.02","0.07","0.93","-0.03"
="5514","三豐","9.52","0.16","0.02","0.19","0.08"
="5515","建國","11.6","0.06","0.05","0.03","0.08"
="5516","雙喜","9.27","0.18","-0.62","-0.04","-0.09"
="5519","隆大","10.3","0.1","0.36","0.43","0.21"
="5520","力泰","27.3","0.53","0.35","0.54","0.32"
="5521","工信","11.95","0.09","0.1","0.04","0.04"
="5522","遠雄","32.1","1.56","-1.09","0.22","0.69"
="5523","豐謙","13.1","0.06","0.14","0.1","0.54"
="5525","順天","14.9","0.22","0.05","-0.08","0.09"
="5529","志嘉","8.85","-0.3","-0.46","-0.56","-0.33"
="5530","龍巖","75.7","0.78","0.57","0.58","1.04"
="5531","鄉林","10.45","0.01","0.66","-0.12","-0.11"
="5533","皇鼎","15.6","0.08","0.23","0.06","0.17"
="5534","長虹","77","4.73","1.79","2.23","2.01"
="5536","聖暉","183","2.96","2.42","4.47","5.27"
="5538","東明-KY","35.45","0.59","1.15","0.87","0.52"
="5543","崇佑-KY","21.3","-0.38","-0.16","-0.74","-0.22"
="5601","台聯櫃","22","0.09","0.05","0.09","0.06"
="5603","陸海","12.3","0.23","0.18","0.21","0.28"
="5604","中連貨","29.75","0.17","0.3","0.05","0.03"
="5607","遠雄港","15.1","0.38","0.22","0.31","0.24"
="5608","四維航","8.8","-0.42","-0.71","-0.66","-0.93"
="5609","中菲行","22.15","0.57","0.44","0.35","0.42"
="5701","劍湖山","2.1","-0.5","-0.26","-0.38","-0.41"
="5703","亞都","25.1","-0.25","0.6","0.14","-0.09"
="5704","老爺知","23.7","0","-0.14","0.23","-0.18"
="5706","鳳凰","34.55","1.15","0.49","0.34","0.81"
="5820","日盛金","8.5","0.14","0.09","0.12","0.16"
="5871","中租-KY","86","1.68","1.57","1.89","1.93"
="5878","台名","43.2","1.11","0.76","1.07","0.68"
="5880","合庫金","16.3","0.32","0.27","0.29","0.32"
="5902","德記","12.1","0.18","0.08","0.04","0.08"
="5903","全家","181","2.36","1.04","0.53","1.93"
="5904","寶雅","377","3.62","3.05","3.41","3.01"
="5905","南仁湖","7.33","0.27","-0.14","0.14","0.04"
="5906","台南-KY","8","-1.1","-1.64","-0.6","-0.32"
="5907","大洋-KY","22.4","-0.39","1.64","0.52","-0.07"
="6005","群益證","10.5","0.2","0.08","0.24","0.25"
="6015","宏遠證","7.7","-0.01","-0.2","0.06","0.04"
="6016","康和證","8.25","0.09","-0.36","0.2","-0.08"
="6020","大展證","14.6","0.16","-0.08","0.36","0.01"
="6021","大慶證","10.45","0.09","-0.04","0.16","0.13"
="6023","元大期","40.7","0.77","0.92","0.7","0.78"
="6024","群益期","45.9","0.99","0.99","0.66","1.33"
="6026","福邦證","12.55","0.39","-0.05","0.43","0.57"
="6101","寬魚國際","50.9","-0.22","-0.46","-0.18","0.64"
="6103","合邦","8.86","-0.01","0.04","0.1","0.12"
="6104","創惟","43.35","0.77","0.66","-0.21","0.63"
="6107","華美","5.53","-0.1","0.09","-0.79","0.01"
="6108","競國","29.5","0.97","1.08","0.57","0.65"
="6109","亞元","12.3","0.14","0.44","0.2","0.25"
="6111","大宇資","84.7","-0.11","-1.49","0.7","0.64"
="6112","聚碩","29.05","0.63","0.63","0.6","0.71"
="6113","亞矽","9.34","1.04","0.01","-0.31","-0.15"
="6114","久威","69","1.32","3.58","1.71","2.11"
="6115","鎰勝","43.35","1.11","1.26","0.14","0.88"
="6116","彩晶","10.7","0.73","1.03","0.57","0.32"
="6117","迎廣","19","-0.11","-0.95","-0.83","-0.72"
="6118","建達","6.99","0.05","0.08","-0.1","0.01"
="6120","達運","26.85","0.19","0.14","0.21","0.12"
="6121","新普","181.5","2.33","2.59","1.8","1.82"
="6122","擎邦","11.2","-0.15","-0.09","0.21","0"
="6123","上奇","46.2","0.73","0.8","0.25","0.79"
="6124","業強","25.3","-0.07","0.07","-0.55","-0.29"
="6125","廣運","10.45","-0.76","-1.01","-0.79","-0.41"
="6126","信音","14.45","0.37","0.39","0.3","0.31"
="6127","九豪","17.2","0.23","0.02","0.16","0.06"
="6128","上福","41.65","0.89","1.05","0.54","0.83"
="6129","普誠","8.6","-0.05","-0.02","-0.12","-0.07"
="6130","星寶國際","49","-0.03","0.19","-0.03","-0.06"
="6131","悠克","21.25","-0.02","-0.42","-0.16","-0.14"
="6133","金橋","10.8","0.01","0.07","-0.08","0.09"
="6134","萬旭","15.95","0.15","0.16","0.1","0.34"
="6136","富爾特","24.1","1.51","-0.04","0.63","0.02"
="6138","茂達","46.65","0.7","0.33","0.48","0.6"
="6139","亞翔","37.65","0.43","0.9","0.68","1"
="6140","訊達","13.35","-0.18","-0.17","-0.25","0.04"
="6141","柏承","18.75","-0.28","0.04","0.37","0.51"
="6142","友勁","8.33","-0.17","0.03","-0.21","-0.03"
="6143","振曜","53.4","-0.19","4.02","-3.21","1.27"
="6144","得利影","9.6","0","-0.4","-0.09","0.03"
="6145","勁永","13.1","-0.01","0.01","-0.09","-0.09"
="6146","耕興","156","1.85","1.93","1.62","2.08"
="6147","頎邦","57.3","0.87","1.28","0.41","0.78"
="6148","驊宏資","5.01","-0.52","-1.07","-0.57","-0.56"
="6150","撼訊","73.7","0.13","-0.1","-1.28","0.98"
="6151","晉倫","24.3","0.5","0.75","0.67","0.52"
="6152","百一","9.04","0.09","0.18","0.02","0.05"
="6153","嘉聯益","41","0.13","0.35","-0.26","0"
="6154","順發","16.6","0.37","0.19","0.43","0.19"
="6155","鈞寶","18.85","0.13","0.42","-0.37","0.36"
="6156","松上","26.15","0.48","0.55","0.14","1.04"
="6158","禾昌","19.05","0.43","0.38","0.15","0.1"
="6160","欣技","18.9","0.01","0.09","-0.79","-0.46"
="6161","捷波","14.7","0.24","0.33","0.29","0.35"
="6163","華電網","14.25","-0.39","1.52","-0.41","-0.43"
="6164","華興","13.95","0.07","0.06","0.14","0.22"
="6165","捷泰","38.55","-0.18","-0.04","-0.24","-0.04"
="6166","凌華","67.7","0.23","1.08","0.11","0.56"
="6167","久正","8.5","0.15","0.38","0.2","0.23"
="6168","宏齊","17.8","0.12","0.18","-0.07","0.34"
="6169","昱泉","42.85","-1.78","-0.73","-0.95","-0.14"
="6170","統振","12.75","0.09","0.18","-0.05","-0.03"
="6171","亞銳士","10.65","-0.04","0","0.03","0.08"
="6172","互億","10.35","-0.07","1.04","-0.2","0"
="6173","信昌電","34.05","0.34","0.26","0.35","0.49"
="6174","安碁","13.4","0.22","0.35","0","0.2"
="6175","立敦","27.85","0.18","0.28","0.14","0.36"
="6176","瑞儀","64.7","2.32","2.34","1.55","1.64"
="6177","達麗","34.25","0.13","0.23","-0.21","4.06"
="6179","亞通","46.1","0.92","1.19","0.86","0.64"
="6180","橘子","92.1","-1.94","-0.22","0.34","0.17"
="6182","合晶","43.1","-0.18","-2.99","0.03","0.15"
="6183","關貿","30.15","0.37","0.3","0.34","0.56"
="6184","大豐電","35.15","-0.22","-0.12","0.3","0.56"
="6185","幃翔","20.15","0.64","0.79","0.35","0.32"
="6186","新潤","17.45","2.27","0.14","0.23","-0.3"
="6187","萬潤","65","2.11","0.53","0.26","1.46"
="6188","廣明","37.8","0.27","0.69","0.25","0.41"
="6189","豐藝","27.8","0.5","0.83","0.11","0.51"
="6190","萬泰科","14.7","0.36","0.18","0.23","0.25"
="6191","精成科","13.85","0.36","0.43","-0.05","0.12"
="6192","巨路","57.5","1.02","1.31","1.24","0.67"
="6194","育富","19.8","-0.99","0.31","-0.13","-0.27"
="6195","詩肯","56.2","0.82","1.34","1.12","0.98"
="6196","帆宣","39.1","0.7","1.09","0.93","0.76"
="6197","佳必琪","32.65","0.81","0.81","0.37","0.54"
="6198","凌泰","22","-0.44","-0.59","-0.7","-0.26"
="6199","天品","24.85","0.02","0.08","0.04","0.21"
="6201","亞弘電","29.7","0.84","0.99","0.17","0.5"
="6202","盛群","77","0.92","0.92","0.82","1.01"
="6203","海韻電","30.15","0.51","0.76","-0.21","0.42"
="6204","艾華","22.9","0.35","0.4","0.18","0.68"
="6205","詮欣","32.35","1.57","0.7","0.28","0.64"
="6206","飛捷","85.8","1.21","1.62","0.85","1.68"
="6207","雷科","29.3","0.38","0.9","0.77","0.68"
="6208","日揚","27.7","0.37","0.2","0.25","0.56"
="6209","今國光","39.05","0.29","0","0.01","-0.32"
="6210","慶生","44.6","0.3","1.1","1.31","0.86"
="6212","理銘","27","0.94","0.54","0.38","0.29"
="6213","聯茂","59.6","0.83","0.75","0.98","0.89"
="6214","精誠","58.2","2.67","0.77","1.35","0.98"
="6215","和椿","19.7","-0.32","0.39","0","0.61"
="6216","居易","28.75","0.72","0.7","0.4","0.79"
="6217","中探針","34.1","0.67","1.26","0.3","0.7"
="6218","豪勉","18.55","0.1","0.5","0.1","0.25"
="6219","富旺","10.65","0.4","0.41","-0.24","0.14"
="6220","岳豐","56.1","1.68","0.7","0.64","0.88"
="6221","晉泰","25","0.18","0.48","0.31","0.44"
="6222","上揚","9.48","-3.69","-0.33","-0.13","1.17"
="6223","旺矽","71.5","2.59","1.94","1.34","0.66"
="6224","聚鼎","55.3","1.36","1.14","0.8","1.07"
="6225","天瀚","3.63","-0.03","-0.07","-0.04","-0.02"
="6226","光鼎","11.2","0.13","0.38","0.04","0.23"
="6227","茂綸","19","0.18","0.18","0.58","0.21"
="6228","全譜","10.05","-0.29","-0.54","-0.54","-0.52"
="6229","研通","19.35","0.36","0.08","-0.16","0.22"
="6230","超眾","97.2","1.94","3.23","1.3","1.05"
="6231","系微","57.2","-0.45","0.43","0.05","0.22"
="6233","旺玖","11.1","-0.22","0.02","-0.43","-0.08"
="6234","高僑","18.15","-0.03","0.12","-0.13","0.23"
="6235","華孚","17","0.19","7.57","-0.05","-0.06"
="6236","康呈","23.75","-0.36","-0.11","-0.59","-0.43"
="6237","驊訊","28.6","0.6","0.1","-0.31","2.83"
="6238","勝麗","250","1.43","3.18","2.06","2.12"
="6239","力成","95","1.7","1.84","1.5","1.81"
="6240","松崗","26.2","1.28","0.06","-0.14","-0.04"
="6241","易通展","13.1","-0.64","0.03","-0.41","-0.33"
="6242","立康","57.5","0.4","1.06","0.66","1.15"
="6243","迅杰","21.75","-0.47","-0.14","-0.75","-0.34"
="6244","茂迪","22.85","-2.05","-2.11","-2.07","-1.43"
="6245","立端","44.45","1.02","1.33","0.5","0.51"
="6246","臺龍","17.85","0.16","6.22","0.12","0.49"
="6247","淇譽電","11.4","0.04","0.23","-0.14","-0.44"
="6248","沛波","18.5","-0.19","0.1","0.32","0.04"
="6251","定穎","12.25","-0.15","0.16","0.04","0.13"
="6257","矽格","28.4","0.7","0.6","0.43","0.54"
="6259","百徽","2.8","-0.22","-0.05","-0.26","-0.04"
="6261","久元","57.1","0.71","0.71","0.31","1.22"
="6263","普萊德","60.1","0.94","1.19","1.05","1.16"
="6264","富裔","6.1","-0.07","2.01","0.27","-0.31"
="6265","方土昶","6.9","-0.06","0.1","-0.27","0.04"
="6266","泰詠","13.55","0.03","0.47","-0.01","0.4"
="6269","台郡","118.5","2.71","3.8","0.87","1.27"
="6270","倍微","13.1","0.09","0.1","0.06","0.07"
="6271","同欣電","141","1.39","1.9","0.55","1.22"
="6274","台燿","73.6","0.76","1.11","1.3","1.06"
="6275","元山","19","0.25","0.08","0.1","0.66"
="6276","安鈦克","12.5","-0.24","0.19","-0.39","-0.01"
="6277","宏正","79.6","1.82","1.54","1.52","1.22"
="6278","台表科","29.7","0.62","0.47","0.29","0.66"
="6279","胡連","162","2.09","3.58","2.78","2.26"
="6281","全國電","62.5","0.93","0.55","1.43","1.36"
="6282","康舒","22.85","0.21","0.24","0.1","0.16"
="6283","淳安","44.85","0.4","0.5","0.2","0.02"
="6284","佳邦","28.25","0.75","0.32","-0.37","0.55"
="6285","啟碁","84","1.86","1.47","1.67","1.68"
="6287","元隆","4.56","-0.19","-0.24","-0.13","-0.03"
="6289","華上","2.6","-0.2","-0.18","-0.27","0.21"
="6290","良維","69.8","0.66","1.08","0.12","0.52"
="6291","沛亨","4.55","0.01","-0.36","-0.3","-0.39"
="6292","迅德","32.5","0.99","1.05","0.42","0.7"
="6294","智基","107","2.28","1.4","2.46","4.07"
="6298","崴強","21.05","0.91","0.56","0.22","0.51"
="6404","通訊-KY","17.5","-0.98","-3.16","-1.88","-3.53"
="6405","悅城","24.1","-0.15","0.63","-0.56","0.28"
="6409","旭隼","515","4.22","4.77","4.07","4.54"
="6411","晶焱","85.6","0.87","2.44","0.8","1.66"
="6412","群電","65.2","0.3","2.2","0.61","1.11"
="6414","樺漢","444","3.5","3.61","2.43","3.75"
="6415","矽力-KY","681","4.96","6.38","4.34","5.9"
="6417","韋僑","37.4","0.72","0.9","0.29","0.4"
