"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="1810","和成","9.6","0.86","0","0.06","0.07"
="1813","寶利徠","20.4","0.16","0.06","-0.03","0.21"
="1815","富喬","15.9","0.33","0.36","0.25","0.42"
="1817","凱撒衛","41","0.89","1.12","0.66","0.88"
="1902","台紙","19","0.14","-0.96","0.08","0.14"
="1903","士紙","31.95","-0.04","-0.17","-0.19","-0.19"
="1904","正隆","17.55","0.35","0.23","0.32","0.31"
="1905","華紙","10.95","0.05","0.14","0.12","0.15"
="1906","寶隆","31.5","-0.13","5.86","0.17","1.75"
="1907","永豐餘","11.8","0.21","0.01","-0.03","0.3"
="1909","榮成","42.8","0.2","1.66","0.9","0.83"
="2002","中鋼","24.6","0.43","0.23","0.24","0.22"
"2002A","中鋼特","42.2","","","",""
="2006","東和鋼鐵","24.65","0.3","0.29","0.5","0.41"
="2007","燁興","4.7","-0.17","-0.12","-0.04","-0.13"
="2008","高興昌","10.4","-0.12","-0.18","-0.22","-0.24"
="2009","第一銅","10.75","-0.15","-0.08","0.1","0.14"
="2010","春源","11.15","0.25","0.2","0.27","0.04"
="2012","春雨","14.35","0.31","0.46","0.05","0.34"
="2013","中鋼構","19.35","0.11","0.01","0.09","0.05"
="2014","中鴻","11.35","0.53","0.28","0.48","0.22"
="2015","豐興","52","0.89","0.58","1.24","0.99"
="2017","官田鋼","9.5","0.1","0.14","0.47","0.08"
="2020","美亞","13.6","0.48","0.35","0.52","0.34"
="2022","聚亨","6.03","-0.03","-0.16","-0.02","-0.2"
="2023","燁輝","11.4","0.31","0.4","0.51","0.12"
="2024","志聯","10.65","0.26","0.41","0.25","0.22"
="2025","千興","2.82","0.19","0.22","0.2","-0.47"
="2027","大成鋼","20.45","0.16","0.48","0.27","0.45"
="2028","威致","9.38","-0.04","0.23","0.49","0.37"
="2029","盛餘","32.85","1.08","1.16","1.17","0.54"
="2030","彰源","16.6","0.27","0.59","0.74","0.32"
="2031","新光鋼","28.3","0.87","0.56","1.19","0.53"
="2032","新鋼","10.1","0.13","0.16","0.04","-0.24"
="2033","佳大","9.12","0.08","0.33","0.05","0.06"
="2034","允強","26","0.46","0.63","0.55","0.5"
="2035","唐榮","45.2","0.35","0.46","0.94","-0.19"
="2038","海光","8.01","-0.09","0.72","-0.17","-0.11"
="2049","上銀","317.5","1.18","1.68","1.04","2.58"
="2059","川湖","390.5","3.18","7.23","1.15","1.52"
="2061","風青","10.9","0.03","0.21","0.24","-0.13"
="2062","橋椿","37.7","1.27","1.28","1.14","0.02"
="2063","世鎧","35.7","0.46","0.01","0.45","0.71"
="2064","晉椿","17.2","0.32","0.93","-0.37","0.45"
="2065","世豐","29.15","1.06","0.78","0.52","-0.1"
="2066","世德","100.5","1.1","2.04","0.46","1.52"
="2067","嘉鋼","13.2","-0.77","-0.55","-0.92","-0.61"
="2069","運錩","25","0.68","1.02","0.66","-0.11"
="2101","南港","27.1","0.31","0.13","0.26","0.25"
="2102","泰豐","13.75","-0.23","-0.04","-1.25","0.05"
="2103","台橡","35","0.3","0.07","0.43","-0.11"
="2104","中橡","42.6","0.91","0.65","0.82","1.4"
="2105","正新","58.7","0.92","0.69","0.59","0.53"
="2106","建大","38.7","0.85","0.96","0.23","0.01"
