"","No","Name"
"504","2913","農林"
"505","2915","潤泰全"
"506","2923","鼎固-KY"
"507","2929","淘帝-KY"
"508","2936","客思達-KY"
"509","3002","歐格"
"510","3003","健和興"
"511","3004","豐達科"
"512","3005","神基"
"513","3006","晶豪科"
"514","3008","大立光"
"515","3010","華立"
"516","3011","今皓"
"517","3013","晟銘電"
"518","3014","聯陽"
"519","3015","全漢"
"520","3016","嘉晶"
"521","3017","奇鋐"
"522","3018","同開"
"523","3019","亞光"
"524","3021","鴻名"
"525","3022","威強電"
"526","3023","信邦"
"527","3024","憶聲"
"528","3025","星通"
"529","3026","禾伸堂"
"530","3027","盛達"
"531","3028","增你強"
"532","3029","零壹"
"533","3030","德律"
"534","3031","佰鴻"
"535","3032","偉訓"
"536","3033","威健"
"537","3034","聯詠"
"538","3035","智原"
"539","3036","文曄"
"540","3037","欣興"
"541","3038","全台"
"542","3040","遠見"
"543","3041","揚智"
"544","3042","晶技"
"545","3043","科風"
"546","3044","健鼎"
"547","3045","台灣大"
"548","3046","建碁"
"549","3047","訊舟"
"550","3048","益登"
"551","3049","和鑫"
"552","3050","鈺德"
"553","3051","力特"
"554","3052","夆典"
"555","3054","立萬利"
"556","3055","蔚華科"
"557","3056","總太"
"558","3057","喬鼎"
"559","3058","立德"
"560","3059","華晶科"
"561","3060","銘異"
"562","3062","建漢"
"563","3090","日電貿"
"564","3094","聯傑"
"565","3130","一零四"
"566","3149","正達"
"567","3164","景岳"
"568","3167","大量"
"569","3189","景碩"
"570","3209","全科"
"571","3229","晟鈦"
"572","3231","緯創"
"573","3257","虹冠電"
"574","3296","勝德"
"575","3305","昇貿"
"576","3308","聯德"
"577","3311","閎暉"
"578","3312","弘憶股"
"579","3315","宣昶"
"580","3321","同泰"
"581","3338","泰碩"
"582","3346","麗清"
"583","3356","奇偶"
"584","3376","新日興"
"585","3380","明泰"
"586","3383","新世紀"
"587","3406","玉晶光"
"588","3413","京鼎"
"589","3416","融程電"
"590","3419","譁裕"
"591","3432","台端"
"592","3443","創意"
"593","3450","聯鈞"
"594","3454","晶睿"
"595","3481","群創"
"596","3494","誠研"
"597","3501","維熹"
"598","3504","揚明光"
"599","3514","昱晶"
"600","3515","華擎"
"601","3518","柏騰"
"602","3519","綠能"
"603","3528","安馳"
"604","3532","台勝科"
"605","3533","嘉澤"
"606","3535","晶彩科"
"607","3536","誠創"
"608","3545","敦泰"
"609","3550","聯穎"
"610","3557","嘉威"
"611","3559","全智科"
"612","3561","昇陽光電"
"613","3576","新日光"
"614","3579","尚志"
"615","3583","辛耘"
"616","3588","通嘉"
"617","3591","艾笛森"
"618","3593","力銘"
"619","3596","智易"
"620","3605","宏致"
"621","3607","谷崧"
"622","3617","碩天"
"623","3622","洋華"
"624","3645","達邁"
"625","3653","健策"
"626","3665","貿聯-KY"
"627","3669","圓展"
"628","3673","TPK-KY"
"629","3679","新至陞"
"630","3682","亞太電"
"631","3686","達能"
"632","3694","海華"
"633","3698","隆達"
"634","3701","大眾控"
"635","3702","大聯大"
"636","3703","欣陸"
"637","3704","合勤控"
"638","3705","永信"
"639","3706","神達"
"640","3708","上緯投控"
"641","4104","佳醫"
"642","4106","雃博"
"643","4108","懷特"
"644","4119","旭富"
"645","4133","亞諾法"
"646","4137","麗豐-KY"
"647","4141","龍燈-KY"
"648","4142","國光生"
"649","4144","康聯-KY"
"650","4148","全宇生技-KY"
"651","4164","承業醫"
"652","4190","佐登-KY"
"653","4306","炎洲"
"654","4414","如興"
"655","4426","利勤"
"656","4438","廣越"
"657","4526","東台"
"658","4532","瑞智"
"659","4536","拓凱"
"660","4545","銘鈺"
"661","4551","智伸科"
"662","4552","力達-KY"
"663","4555","氣立"
"664","4557","永新-KY"
"665","4560","強信-KY"
"666","4720","德淵"
"667","4722","國精化"
"668","4725","信昌化"
"669","4737","華廣"
"670","4746","台耀"
"671","4755","三福化"
"672","4763","材料-KY"
"673","4904","遠傳"
"674","4906","正文"
"675","4912","聯德控股-KY"
"676","4915","致伸"
"677","4916","事欣科"
"678","4919","新唐"
"679","4927","泰鼎-KY"
"680","4930","燦星網"
"681","4934","太極"
"682","4935","茂林-KY"
"683","4938","和碩"
"684","4942","嘉彰"
"685","4943","康控-KY"
"686","4952","凌通"
"687","4956","光鋐"
"688","4958","臻鼎-KY"
"689","4960","奇美材"
"690","4968","立積"
"691","4976","佳凌"
"692","4977","眾達-KY"
"693","4984","科納-KY"
"694","4994","傳奇"
"695","4999","鑫禾"
"696","5007","三星"
"697","5203","訊連"
"698","5215","科嘉-KY"
"699","5225","東科-KY"
"700","5234","達興材料"
"701","5243","乙盛-KY"
"702","5258","虹堡"
"703","5259","清惠"
"704","5269","祥碩"
"705","5284","jpp-KY"
"706","5285","界霖"
"707","5288","豐祥-KY"
"708","5305","敦南"
"709","5388","中磊"
"710","5434","崇越"
"711","5469","瀚宇博"
"712","5471","松翰"
"713","5484","慧友"
"714","5515","建國"
"715","5519","隆大"
"716","5521","工信"
"717","5522","遠雄"
"718","5525","順天"
"719","5531","鄉林"
"720","5533","皇鼎"
"721","5534","長虹"
"722","5538","東明-KY"
"723","5607","遠雄港"
"724","5608","四維航"
"725","5706","鳳凰"
"726","5871","中租-KY"
"727","5880","合庫金"
"728","5906","台南-KY"
"729","5907","大洋-KY"
"730","6005","群益證"
"731","6108","競國"
"732","6112","聚碩"
"733","6115","鎰勝"
"734","6116","彩晶"
"735","6117","迎廣"
"736","6120","達運"
"737","6128","上福"
"738","6131","悠克"
"739","6133","金橋"
"740","6136","富爾特"
"741","6139","亞翔"
"742","6141","柏承"
"743","6142","友勁"
"744","6145","勁永"
"745","6152","百一"
"746","6153","嘉聯益"
"747","6155","鈞寶"
"748","6164","華興"
"749","6165","捷泰"
"750","6166","凌華"
"751","6168","宏齊"
"752","6172","互億"
"753","6176","瑞儀"
"754","6177","達麗"
"755","6183","關貿"
"756","6184","大豐電"
"757","6189","豐藝"
"758","6191","精成科"
"759","6192","巨路"
"760","6196","帆宣"
"761","6197","佳必琪"
"762","6201","亞弘電"
"763","6202","盛群"
"764","6205","詮欣"
"765","6206","飛捷"
"766","6209","今國光"
"767","6213","聯茂"
"768","6214","精誠"
"769","6215","和椿"
"770","6216","居易"
"771","6224","聚鼎"
"772","6225","天瀚"
"773","6226","光鼎"
"774","6230","超眾"
"775","6235","華孚"
"776","6239","力成"
"777","6243","迅杰"
"778","6251","定穎"
"779","6257","矽格"
