"","No","Name"
"334","4924","欣厚-KY"
"335","4933","友輝"
"336","4939","亞電"
"337","4944","兆遠"
"338","4946","辣椒"
"339","4947","昂寶-KY"
"340","4950","牧東"
"341","4953","緯軟"
"342","4965","商店街"
"343","4966","譜瑞-KY"
"344","4971","IET-KY"
"345","4972","湯石照明"
"346","4973","廣穎"
"347","4974","亞泰"
"348","4979","華星光"
"349","4987","科誠"
"350","4991","環宇-KY"
"351","4995","晶達"
"352","5009","榮剛"
"353","5011","久陽"
"354","5013","強新"
"355","5014","建錩"
"356","5015","華祺"
"357","5016","松和"
"358","5102","富強"
"359","5201","凱衛"
"360","5202","力新"
"361","5205","漢康"
"362","5206","坤悅"
"363","5209","新鼎"
"364","5210","寶碩"
"365","5211","蒙恬"
"366","5212","凌網"
"367","5213","亞昕"
"368","5227","立凱-KY"
"369","5230","雷笛克光學"
"370","5245","智晶"
"371","5251","天鉞電"
"372","5255","美桀"
"373","5263","智崴"
"374","5272","笙科"
"375","5274","信驊"
"376","5276","達輝-KY"
"377","5278","尚凡"
"378","5281","大峽谷-KY"
"379","5287","數字"
"380","5289","宜鼎"
"381","5291","邑昇"
"382","5301","寶得利"
"383","5302","太欣"
"384","5304","鼎創達"
"385","5306","桂盟"
"386","5309","系統電"
"387","5310","天剛"
"388","5312","寶島科"
"389","5314","世紀"
"390","5315","光聯"
"391","5317","凱美"
"392","5321","友銓"
"393","5324","士開"
"394","5328","華容"
"395","5340","建榮"
"396","5344","立衛"
"397","5345","天揚"
"398","5347","世界"
"399","5348","系通"
"400","5349","先豐"
"401","5351","鈺創"
"402","5353","台林"
"403","5355","佳總"
"404","5356","協益"
"405","5364","力麗店"
"406","5371","中光電"
"407","5381","合正"
"408","5383","金利"
"409","5384","捷元"
"410","5386","青雲"
"411","5392","應華"
"412","5398","力瑋"
"413","5403","中菲"
"414","5410","國眾"
"415","5425","台半"
"416","5426","振發"
"417","5432","達威"
"418","5438","東友"
"419","5439","高技"
"420","5443","均豪"
"421","5450","寶聯通"
"422","5452","佶優"
"423","5455","訊利電"
"424","5457","宣德"
"425","5460","同協"
"426","5464","霖宏"
"427","5465","富驊"
"428","5468","凱鈺"
"429","5474","聰泰"
"430","5475","德宏"
"431","5478","智冠"
"432","5480","統盟"
"433","5481","華韡"
"434","5483","中美晶"
"435","5487","通泰"
"436","5488","松普"
"437","5489","彩富"
"438","5490","同亨"
"439","5491","連展"
"440","5493","三聯"
"441","5498","凱崴"
"442","5508","永信建"
"443","5511","德昌"
"444","5512","力麒"
"445","5514","三豐"
"446","5516","雙喜"
"447","5520","力泰"
"448","5523","豐謙"
"449","5529","志嘉"
"450","5530","龍巖"
"451","5536","聖暉"
"452","5543","崇佑-KY"
"453","5601","台聯櫃"
"454","5603","陸海"
"455","5604","中連貨"
"456","5609","中菲行"
"457","5701","劍湖山"
"458","5703","亞都"
"459","5704","老爺知"
"460","5820","日盛金"
"461","5878","台名"
"462","5902","德記"
"463","5903","全家"
"464","5904","寶雅"
"465","5905","南仁湖"
"466","6015","宏遠證"
"467","6016","康和證"
"468","6020","大展證"
"469","6021","大慶證"
"470","6022","大眾證"
"471","6023","元大期"
"472","6024","群益期"
"473","6026","福邦證"
"474","6101","弘捷"
"475","6103","合邦"
"476","6104","創惟"
"477","6105","瑞傳"
"478","6107","華美"
"479","6109","亞元"
"480","6111","大宇資"
"481","6113","亞矽"
"482","6114","久威"
"483","6118","建達"
"484","6121","新普"
"485","6122","擎邦"
"486","6123","上奇"
"487","6124","業強"
"488","6125","廣運"
"489","6126","信音"
"490","6127","九豪"
"491","6129","普誠"
"492","6130","星寶國際"
"493","6134","萬旭"
"494","6138","茂達"
"495","6140","訊達"
"496","6143","振曜"
"497","6144","得利影"
"498","6146","耕興"
"499","6147","頎邦"
"500","6148","驊宏資"
"501","6150","撼訊"
"502","6151","晉倫"
"503","6154","順發"
"504","6156","松上"
"505","6158","禾昌"
"506","6160","欣技"
"507","6161","捷波"
"508","6163","華電網"
"509","6167","久正"
"510","6169","昱泉"
"511","6170","統振"
"512","6171","亞銳士"
"513","6173","信昌電"
"514","6174","安碁"
"515","6175","立敦"
"516","6179","亞通"
"517","6180","橘子"
"518","6182","合晶"
"519","6185","幃翔"
"520","6186","新潤"
"521","6187","萬潤"
"522","6188","廣明"
"523","6190","萬泰科"
"524","6194","育富"
"525","6195","詩肯"
"526","6198","凌泰"
"527","6199","天品"
"528","6203","海韻電"
"529","6204","艾華"
"530","6207","雷科"
"531","6208","日揚"
"532","6210","慶生"
"533","6212","理銘"
"534","6217","中探針"
"535","6218","豪勉"
"536","6219","富旺"
"537","6220","岳豐"
"538","6221","晉泰"
"539","6222","上揚"
"540","6223","旺矽"
"541","6227","茂綸"
"542","6228","全譜"
"543","6229","研通"
"544","6231","系微"
"545","6233","旺玖"
"546","6234","高僑"
"547","6236","康呈"
"548","6237","驊訊"
"549","6238","勝麗"
"550","6240","松崗"
"551","6241","易通展"
"552","6242","立康"
"553","6244","茂迪"
"554","6245","立端"
"555","6246","臺龍"
"556","6247","淇譽電"
"557","6248","沛波"
"558","6259","百徽"
"559","6261","久元"
"560","6263","普萊德"
"561","6264","富裔"
"562","6265","方土昶"
"563","6266","泰詠"
"564","6270","倍微"
"565","6274","台燿"
"566","6275","元山"
"567","6276","安鈦克"
"568","6279","胡連"
"569","6284","佳邦"
"570","6287","元隆"
"571","6290","良維"
"572","6291","沛亨"
"573","6292","迅德"
"574","6298","崴強"
"575","6404","通訊-KY"
"576","6411","晶焱"
"577","6417","韋僑"
"578","6419","京晨科"
"579","6426","統新"
"580","6432","今展科"
"581","6435","大中"
"582","6438","迅得"
"583","6446","藥華藥"
"584","6457","紘康"
"585","6462","神盾"
"586","6465","威潤"
"587","6469","大樹"
"588","6470","宇智"
"589","6472","保瑞"
"590","6482","弘煜科"
"591","6485","點序"
"592","6488","環球晶"
"593","6492","生華科"
"594","6494","九齊"
"595","6496","科懋"
"596","6497","亞獅康-KY"
"597","6499","益安"
"598","6506","雙邦"
"599","6508","惠光"
"600","6509","聚和"
"601","6510","精測"
"602","6512","啟發電"
"603","6514","芮特-KY"
"604","6523","達爾膚"
"605","6532","瑞耘"
"606","6535","順藥"
"607","6538","倉和"
